id,名称,系列,费用,数值,持续时间,效果,备注,,,,,,,,,,,,,,,,,,,,
1000,流血,基础,1,3,3,每回合造成[数值]点伤害，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1001,恢复,基础,1,3,4,每回合恢复[数值]点生命，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1002,入魔,基础,1,1,3,每回合获得[数值]点魔力，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1003,抽牌,基础,1,1,3,每回合抽取[数值]张卡牌，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1007,驱散,基础,1,1,0,随机驱散敌方[数值]个效果,,,,,,,,,,,,,,,,,,,,,
1100,吸血,进阶,1,2,3,每回合造成[数值]点伤害并恢复[数值]点生命，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1101,加速,进阶,0,1,3,每回合造成[数值]点伤害，此伤害每回合+1，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1102,延续,进阶,1,1,0,使自身的所有效果延长[数值]回合,,,,,,,,,,,,,,,,,,,,,
1103,超频,进阶,1,2,0,使所有手牌的数值和费用x[数值],,,,,,,,,,,,,,,,,,,,,
1104,结算,进阶,1,1,0,立即结算[数值]次双方身上的所有效果,,,,,,,,,,,,,,,,,,,,,
1105,急救,进阶,0,1,0,立即获得[数值]点魔力并恢复[数值]点生命,,,,,,,,,,,,,,,,,,,,,
1106,闪击,进阶,0,3,0,立即造成[数值]点伤害,,,,,,,,,,,,,,,,,,,,,
1110,重奏,进阶,3,1,0,重复打出[数值]次上一张打出的卡牌,,,,,,,,,,,,,,,,,,,,,
1200,七罪,原罪,0,0,7,每回合随机获得1张“原罪”卡牌，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1201,暴怒,原罪,1,7,7,每回合造成[数值]点伤害，有77%概率受到同等伤害，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1202,傲慢,原罪,1,0,1,失去所有魔力，本回合免疫所有伤害，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1203,嫉妒,原罪,1,0,0,交换双方身上的所有效果,,,,,,,,,,,,,,,,,,,,,
1204,贪婪,原罪,1,0,0,弃掉所有手牌，每弃1张获得2点魔力,,,,,,,,,,,,,,,,,,,,,
1205,懒惰,原罪,1,0,0,抽7张牌，并结束此回合,,,,,,,,,,,,,,,,,,,,,
1206,色欲,原罪,1,0,0,将场上所有效果的持续时间变为7,,,,,,,,,,,,,,,,,,,,,
1207,暴食,原罪,1,7,7,每回合恢复[数值]点生命，但受到的伤害翻倍，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1300,种子,随机,0,0,0,重置随机数种子,,,,,,,,,,,,,,,,,,,,,
1301,骰子,随机,1,6,5,每回合随机造成0-[数值]点伤害，持续1-[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1302,命签,随机,1,6,5,每回合随机恢复0-[数值]点生命，持续1-[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1303,运势,随机,1,3,3,每回合随机获得0-[数值]点魔力，持续1-[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1304,赌徒,随机,1,1,0,"[数值/1+数值]概率获得1张""随机""牌并再次触发此卡效果",,,,,,,,,,,,,,,,,,,,,
1305,轮盘,随机,0,6,3,1/6概率对敌造成[数值]伤害，5/6概率对自己造成[数值/6]点伤害，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1400,苦修,鲜血,1,1,3,你对自己造成伤害时，获得[数值]点魔力，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1401,献祭,鲜血,1,5,3,每回合对双方造成[数值]点伤害，“献祭”伤害永久+1，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1402,卖血,鲜血,0,3,3,对自己造成[数值]点伤害，抽1张牌，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1403,反伤,鲜血,1,0,3,受伤后，对敌造成等量伤害，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1404,血契,鲜血,2,0,3,你恢复的生命时将造成等量伤害，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1500,偷窃,暗影,2,1,3,每回合偷取敌人[数值]张卡牌，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1501,偷魔,暗影,2,1,3,每回合偷取敌人[数值]点魔力，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1502,偷月,暗影,2,1,0,随机偷取敌人[数值]个效果,,,,,,,,,,,,,,,,,,,,,
1503,未来,暗影,1,5,3,延迟[持续时间]回合后，每回合恢复[数值]点生命，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1504,破甲,暗影,2,2,3,敌方受到的伤害翻[数值]倍，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1505,羽化,暗影,0,0,0,弃掉手牌，获得等量魔力,,,,,,,,,,,,,,,,,,,,,
1506,制衡,暗影,1,0,0,弃掉手牌，抽等量牌,,,,,,,,,,,,,,,,,,,,,
1508,诅咒,暗影,1,1,5,每当敌方使用卡牌，其受到[数值]点伤害，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1700,镜像,机械,2,2,3,你每打出一张牌，自动对敌人造成[数值]点伤害，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
1702,激光,机械,1,1,0,造成1点伤害，本局游戏每使用一次此牌，伤害+[数值]，费用+1,,,,,,,,,,,,,,,,,,,,,
1800,黑洞,虚空,2,0,0,移除双方所有手牌,,,,,,,,,,,,,,,,,,,,,
1801,奇点,虚空,2,1,3,所有双方手牌的费用变为[数值]点，持续[持续时间]回合,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
